URL da vaga,Nome vaga,Nome da empresa,URL da empresa,Tipo de contrataÃ§Ã£o,Nivel de experiencia,Numero de candidaturas,Data da postagem,Horario do scrape,Numero de funcionarios,Numero de seguidores,local empresa,URL da candidatura,urn
https://br.linkedin.com/jobs/view/engenheiro-civil-trainee-at-confidencial-3485021495?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=Qksy%2FWsL7GjNoH8S%2BkKycA%3D%3D&trk=public_jobs_topcard-title,Engenheiro Civil Trainee,Confidencial,https://ca.linkedin.com/company/econfidencial,Tempo integral,Estágio,200,Há 1 mês,2023-03-29 11:14:17,5.881,1.796.657,"Salvador, BA",['https://br.linkedin.com/jobs/view/externalApply/3485021495?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F21180548&urlHash=2QQK&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=Qksy%2FWsL7GjNoH8S%2BkKycA%3D%3D'],urn:li:jobPosting:3485021495
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-recursos-humanos-at-vilarouca-advocacia-e-consultoria-3522361663?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=Mz3TloWH2QzAddGOsIQ4sQ%3D%3D&trk=public_jobs_topcard-title,Estágio em Recursos Humanos,VILAROUCA ADVOCACIA E CONSULTORIA,https://br.linkedin.com/company/f-vilarouca-sociedade-individual-de-advocacia,Tempo integral,Estágio,25,Há 1 mês,2023-03-29 11:14:29,22,558,"Cuiabá, MT",['https://br.linkedin.com/jobs/view/externalApply/3522361663?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F21975412&urlHash=4Mxk&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=Mz3TloWH2QzAddGOsIQ4sQ%3D%3D'],urn:li:jobPosting:3522361663
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-ti-at-fator-wow%21-3518556905?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=KiACjAeOhtu%2BTcqa60QiSg%3D%3D&trk=public_jobs_topcard-title,Estágio em TI,Fator WoW!,https://br.linkedin.com/company/fatorwow,Tempo integral,Estágio,167,Há 1 mês,2023-03-29 11:14:41,12,8.732,"Mogi das Cruzes, SP",['https://br.linkedin.com/jobs/view/externalApply/3518556905?url=https%3A%2F%2Fabler%2Ein%2Fv93617%3Fsource%3Dlinkedin&urlHash=GMuE&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=KiACjAeOhtu%2BTcqa60QiSg%3D%3D'],urn:li:jobPosting:3518556905
https://br.linkedin.com/jobs/view/aprendiz-iguatemi-at-oba-hortifruti-3505157528?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=kxN0pyEp29A0oyUvARHhUA%3D%3D&trk=public_jobs_topcard-title,APRENDIZ - Iguatemi,Oba Hortifruti,https://br.linkedin.com/company/obahortifruti,Tempo integral,Estágio,74,Há 1 mês,2023-03-29 11:14:53,3.071,66.562,"Brasília, DF",['https://br.linkedin.com/jobs/view/externalApply/3505157528?url=https%3A%2F%2Fobahortifruti%2Egupy%2Eio%2Fjob%2FeyJzb3VyY2UiOiJndXB5X3B1YmxpY19wYWdlIiwiam9iSWQiOjQxNDU0MTd9%3FjobBoardSource%3Dgupy_public_page&urlHash=VCZx&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=kxN0pyEp29A0oyUvARHhUA%3D%3D'],urn:li:jobPosting:3505157528
https://br.linkedin.com/jobs/view/est%C3%A1gio-recursos-humanos-at-labore-do-vale-3507816413?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=FyvMQT%2FBJ5c3ZHjJJhvbhg%3D%3D&trk=public_jobs_topcard-title,Estágio - Recursos Humanos,Labore do Vale,https://br.linkedin.com/company/laboredovale,Tempo integral,Estágio,33,Há 1 mês,2023-03-29 11:15:05,2,1.460,"São José dos Campos, SP",['https://br.linkedin.com/jobs/view/externalApply/3507816413?url=https%3A%2F%2Fjobs%2Equickin%2Eio%2Flaboredovale%2Fjobs%2F63dadd5250021b00154c8f02%3Fsrc%3DLinkedIn%2520Limited%2520Listings&urlHash=KXQH&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=FyvMQT%2FBJ5c3ZHjJJhvbhg%3D%3D'],urn:li:jobPosting:3507816413
https://br.linkedin.com/jobs/view/jovem-aprendiz-em-servicos-administrativos-at-casa-video-3531436645?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=YyhjAOq2lKki8T7Rc%2BcduQ%3D%3D&trk=public_jobs_topcard-title,JOVEM APRENDIZ EM SERVICOS ADMINISTRATIVOS,Casa & Video,https://br.linkedin.com/company/casa-&-video,Tempo integral,Estágio,42,Há 1 semana,2023-03-29 11:15:17,4.501,96.489,"Queimados, RJ",['https://br.linkedin.com/jobs/view/externalApply/3531436645?url=https%3A%2F%2Fcasaevideo%2Egupy%2Eio%2Fjob%2FeyJzb3VyY2UiOiJndXB5X3B1YmxpY19wYWdlIiwiam9iSWQiOjQ0NjMzNzZ9%3FjobBoardSource%3Dgupy_public_page&urlHash=12BK&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=YyhjAOq2lKki8T7Rc%2BcduQ%3D%3D'],urn:li:jobPosting:3531436645
https://br.linkedin.com/jobs/view/est%C3%A1gio-recursos-humanos-at-selpe-vagas-3523346372?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=uydxY2G%2FhfbJSxT4GMCSZw%3D%3D&trk=public_jobs_topcard-title,Estágio Recursos Humanos,Selpe Vagas,https://br.linkedin.com/company/selpevagas,Tempo integral,Estágio,25,Há 1 mês,2023-03-29 11:15:30,4,79.931,"Contagem, MG",['https://br.linkedin.com/jobs/view/externalApply/3523346372?url=https%3A%2F%2Fvagas%2Erecrutamentointeligente%2Enet%2Fgruposelpe%2Fdetalhe%2Festagio-recursos-humanos%2FR27070%3Fsource%3DLinkedin&urlHash=3lxK&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=uydxY2G%2FhfbJSxT4GMCSZw%3D%3D'],urn:li:jobPosting:3523346372
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-a-na-%C3%A1rea-de-design-marketing-audiovisual-home-office-at-promosig-3526210780?refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=aTOHgM6Vj7E7hbW%2Fzgxkpg%3D%3D&trk=public_jobs_topcard-title,Estagiário(a) na área de Design/Marketing/Audiovisual (Home Office),PromoSig,https://br.linkedin.com/company/promosig,Tempo integral,Estágio,200,Há 1 mês,2023-03-29 11:15:42,16,76,"São Bernardo do Campo, SP",['https://br.linkedin.com/jobs/view/externalApply/3526210780?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22037950&urlHash=19I-&refId=pyUifnfnn342d43cX9ZXbw%3D%3D&trackingId=aTOHgM6Vj7E7hbW%2Fzgxkpg%3D%3D'],urn:li:jobPosting:3526210780
https://br.linkedin.com/jobs/view/est%C3%A1gio-de-rh-at-connect-rh-solu%C3%A7%C3%B5es-empresarias-3489658302?refId=aatpk7%2FagkBc8UXYg7oG8w%3D%3D&trackingId=ysBXkXznKTlNiSFgQSqVJQ%3D%3D&trk=public_jobs_topcard-title,Estágio de RH,Connect Rh Soluções Empresarias,https://br.linkedin.com/company/connect-rh-solu%C3%A7%C3%B5es-empresarias,Tempo integral,Estágio,95,Há 2 meses,2023-03-29 11:15:54,4,3.316,"Salvador, BA",['https://br.linkedin.com/jobs/view/externalApply/3489658302?url=https%3A%2F%2Fabler%2Ein%2Fv122588%3Fsource%3Dlinkedin&urlHash=W__q&refId=aatpk7%2FagkBc8UXYg7oG8w%3D%3D&trackingId=ysBXkXznKTlNiSFgQSqVJQ%3D%3D'],urn:li:jobPosting:3489658302
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-farm%C3%A1cia-at-farm%C3%A1cia-permanente-3532643866?refId=aatpk7%2FagkBc8UXYg7oG8w%3D%3D&trackingId=V31K4usl6Oi9FzoCc2Rsfg%3D%3D&trk=public_jobs_topcard-title,Estagiário de Farmácia,Farmácia Permanente,https://br.linkedin.com/company/farm%C3%A1cia-permanente,Tempo integral,Estágio,25,Há 1 semana,2023-03-29 11:16:07,754,7.129,"Delmiro Gouveia, AL",['https://br.linkedin.com/jobs/view/externalApply/3532643866?url=https%3A%2F%2Fwww%2Ecatho%2Ecom%2Ebr%2Fvagas%2Flinkedin%2F22300284&urlHash=QHTf&refId=aatpk7%2FagkBc8UXYg7oG8w%3D%3D&trackingId=V31K4usl6Oi9FzoCc2Rsfg%3D%3D'],urn:li:jobPosting:3532643866
